Année du Baccalauréat;Enseignements de spécialité;Formation;Nombre de candidats bacheliers ayant confirmé au moins un vœu;Nombre de candidats bacheliers ayant reçu au moins une proposition d'admission;Nombre de candidats bacheliers ayant accepté une proposition d'admission
2024;Numérique et Sciences Informatiques,Éducation physique, pratiques et culture sportives;Ensemble des bacheliers;37;29.0;20
2024;Physique-Chimie Spécialité,Histoire-Géographie, Géopolitique et Sciences politiques;Sciences po;61;5.0;5
2024;Physique-Chimie Spécialité,Humanités, Littérature et Philosophie;Formations des écoles nationales vétérinaires;0;0.0;0
2024;Physique-Chimie Spécialité,Langues, littératures et cultures étrangères et régionales;Licence Sciences de gestion;18;7.0;1
2024;Physique-Chimie Spécialité,Langues, littératures et cultures étrangères et régionales;Licence Sciences de l éducation;22;14.0;5
2024;Physique-Chimie Spécialité,Numérique et Sciences Informatiques;CPGE S;58;13.0;4
2024;Physique-Chimie Spécialité,Numérique et Sciences Informatiques;Licence Archéologie, Ethno, Préhistoire, Anthropologie;1;1.0;0
2024;Physique-Chimie Spécialité,Sciences Economiques et Sociales Spécialité;Licence Archéologie, Ethno, Préhistoire, Anthropologie;3;3.0;1
2024;Physique-Chimie Spécialité,Sciences Economiques et Sociales Spécialité;Licence Pluri Lettres - Langues - Sciences humaines;3;1.0;0
2024;Physique-Chimie Spécialité,Sciences de l'ingénieur et sciences physiques;Licence MASS;2;0.0;0
2024;Physique-Chimie Spécialité,Sciences de l'ingénieur et sciences physiques;Sciences po;0;0.0;0
2024;Sciences Economiques et Sociales Spécialité,Histoire-Géographie, Géopolitique et Sciences politiques;Formations d'ART;1340;292.0;167
2024;Sciences Economiques et Sociales Spécialité,Humanités, Littérature et Philosophie;Licence L.AS;5627;273.0;55
2024;Sciences Economiques et Sociales Spécialité,Humanités, Littérature et Philosophie;Licence LEA;642;473.0;123
2024;Sciences Economiques et Sociales Spécialité,Humanités, Littérature et Philosophie;Licence Mathématiques et informatique;0;0.0;0
2024;Sciences Economiques et Sociales Spécialité,Numérique et Sciences Informatiques;Licence Pluri Sciences de la vie, de la santé, de la terre et de l univers;5;1.0;0
2024;Sciences Economiques et Sociales Spécialité,Sciences de l'ingénieur et sciences physiques;Licence Electronique, Génie électrique, EEA;0;0.0;0
2024;Sciences Economiques et Sociales Spécialité,Sciences de l'ingénieur et sciences physiques;Licence Langues et littératures françaises;1;0.0;0
2024;Sciences Economiques et Sociales Spécialité,Sciences de l'ingénieur et sciences physiques;Licence Mécanique, Génie mécanique, Ingénierie mécanique;1;0.0;0
2024;Sciences Economiques et Sociales Spécialité,Éducation physique, pratiques et culture sportives;DEUST;131;48.0;18
2024;Sciences Economiques et Sociales Spécialité,Éducation physique, pratiques et culture sportives;Ensemble des bacheliers;852;770.0;630
2024;Sciences de l'ingénieur et sciences physiques,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Sciences de l univers, de la terre, de l espace;0;0.0;0
2024;Sciences de l'ingénieur et sciences physiques,Histoire-Géographie, Géopolitique et Sciences politiques;Sciences po;0;0.0;0
2024;Sciences de l'ingénieur et sciences physiques,Langues, littératures et cultures étrangères et régionales;CPGE L;1;0.0;0
2024;Sciences de l'ingénieur et sciences physiques,Langues, littératures et cultures étrangères et régionales;Licence Histoire;4;4.0;1
