cpge_type,panier_name,school_name,city,department,taux_integration_pct,moyenne_bac,moyenne_multi_ans_pct,rang_multi_ans,parcoursup
ECG - Mathématiques approfondies + ESH,HEC,Henri-IV,Paris,75,50,,44.4,,oui
ECG - Mathématiques approfondies + ESH,HEC,Sainte-Marie,Lyon,69,40,,33.3,2e/51,oui
ECG - Mathématiques approfondies + ESH,HEC,Stanislas,Paris,75,31,,27,3e/51,oui
ECG - Mathématiques approfondies + ESH,HEC,Hoche,Versailles,78,29.2,,17.2,6e/51,oui
ECG - Mathématiques approfondies + ESH,HEC,ND-du-Grandchamp,Versailles,78,22.2,,21.2,5e/51,oui
ECG - Mathématiques approfondies + ESH,HEC,St-Louis-de-Gonzague,Paris,75,19.5,,21.8,4e/51,oui
ECG - Mathématiques approfondies + ESH,HEC,Chartreux,Lyon,69,12.5,,6.1,11e/51,oui
ECG - Mathématiques approfondies + ESH,HEC,Le Parc,Lyon,69,11.4,,9.4,8e/51,oui
ECG - Mathématiques approfondies + ESH,HEC,Champollion,Grenoble,38,10,,8.2,9e/51,oui
ECG - Mathématiques approfondies + ESH,HEC,Pierre-de-Fermat,Toulouse,31,10,,7.8,10e/51,oui
ECG - Mathématiques approfondies + ESH,HEC,Marcelin-Berthelot,St-Maur-des-Fossés,94,9.1,,4.5,13e/51,oui
ECG - Mathématiques approfondies + ESH,HEC,Ampère,Lyon,69,5.3,,5.2,12e/51,oui
ECG - Mathématiques approfondies + ESH,HEC,St-Vincent-Providence,Rennes,35,5.3,,3.4,15e/51,oui
ECG - Mathématiques approfondies + ESH,HEC,Stanislas,Cannes,06,4.8,,1.7,26e/51,oui
ECG - Mathématiques approfondies + ESH,HEC,Janson-de-Sailly,Paris,75,4.5,,11.9,7e/51,oui
ECG - Mathématiques approfondies + ESH,HEC,Carnot,Paris,75,4.4,,2.4,17e/51,oui
ECG - Mathématiques approfondies + ESH,HEC,Kléber,Strasbourg,67,4,,3.9,14e/51,oui
ECG - Mathématiques approfondies + ESH,HEC,Saint-Jean,Douai,59,3.6,,2.2,19e/51,oui
ECG - Mathématiques approfondies + ESH,HEC,Alfred-Kastler,Cergy-Pontoise,95,0,,,,oui
ECG - Mathématiques approfondies + ESH,HEC,Berthollet,Annecy,74,0,,1.6,27e/51,oui
ECG - Mathématiques approfondies + ESH,HEC,Blaise-Pascal,Clermont-Ferrand,63,0,,0,28e/51,oui
ECG - Mathématiques approfondies + ESH,HEC,Carnot,Dijon,21,0,,1.8,22e/51,oui
ECG - Mathématiques approfondies + ESH,HEC,Charles-De-Gaulle,Caen,14,0,,0,28e/51,oui
ECG - Mathématiques approfondies + ESH,HEC,Chateaubriand,Rennes,35,0,,3,16e/51,oui
ECG - Mathématiques approfondies + ESH,HEC,Clemenceau,Reims,51,0,,0,28e/51,oui
ECG - Mathématiques approfondies + ESH,HEC,Faidherbe,Lille,59,0,,0,28e/51,oui
ECG - Mathématiques approfondies + ESH,HEC,Henri-Poincaré,Nancy,54,0,,0,28e/51,oui
ECG - Mathématiques approfondies + ESH,HEC,Intégrale,Paris,75,0,,,,non
ECG - Mathématiques approfondies + ESH,HEC,Ipesup,Paris,75,0,,,,non
ECG - Mathématiques approfondies + ESH,HEC,Kerichen,Brest,29,0,,0,28e/51,oui
ECG - Mathématiques approfondies + ESH,HEC,Montaigne,Bordeaux,33,0,,2.3,18e/51,oui
ECG - Mathématiques approfondies + ESH,HEC,Montaigne,Paris,75,0,,0,28e/51,oui
ECG - Mathématiques approfondies + ESH,HEC,ND-des-Minimes,Lyon,69,0,,1.8,22e/51,oui
ECG - Mathématiques approfondies + ESH,HEC,Ozenne,Toulouse,31,0,,0,28e/51,oui
ECG - Mathématiques approfondies + ESH,HEC,Saint-Charles,Marseille,13,0,,0,28e/51,oui
ECG - Mathématiques approfondies + ESH,HEC,Saint-Just,Lyon,69,0,,1.8,22e/51,oui
ECG - Mathématiques approfondies + ESH,HEC,St-Michel-de-Picpus,Paris,75,0,,1.8,22e/51,oui
ECG - Mathématiques approfondies + ESH,HEC,Ste-Marie-Gd-Lebrun,Bordeaux,33,0,,0,28e/51,oui
ECG - Mathématiques approfondies + ESH,HEC,La Prépa Autrement,Paris,75,,,,,non
ECG - Mathématiques approfondies + ESH,HEC,Alexandre-Dumas (ex-Florent-Schmitt),St-Cloud,92,,,,,oui
ECG - Mathématiques approfondies + ESH,HEC,Aliénor d'Aquitaine,Poitiers,86,,,,,oui
ECG - Mathématiques approfondies + ESH,HEC,Claude-Fauriel,St-Etienne,42,,,,,oui
ECG - Mathématiques approfondies + ESH,HEC,Gaston-Berger,Lille,59,,,,,oui
ECG - Mathématiques approfondies + ESH,HEC,La Nativité,Aix-en-Provence,13,,,,,oui
ECG - Mathématiques approfondies + ESH,HEC,Marguerite-Jauzelon (ex-Bellepierre),St-Denis-de-la-Réunion,974,,,,,oui
ECG - Mathématiques approfondies + ESH,HEC,ND-de-Sainte-Croix,Neuilly-sur-Seine,92,,,2.1,21e/51,oui
ECG - Mathématiques approfondies + ESH,HEC,Philippine-Duchesne Itec-Boisfleury,Grenoble,38,,,,,oui
ECG - Mathématiques approfondies + ESH,HEC,Saint-Paul,Lille,59,,,2.2,19e/51,oui
ECG - Mathématiques approfondies + ESH,HEC,St-Joseph-du-Loquidy,Nantes,44,,,,,oui
ECG - Mathématiques approfondies + ESH,HEC,Vernet,Valence,26,,,,,oui
ECG - Mathématiques approfondies + ESH,HEC,WeiD Prépa,Paris,75,,,,,non
