cpge_type,panier_name,panier_url,schools
ECG - Mathématiques approfondies + ESH,HEC,https://www.letudiant.fr/classements/classement-des-prepas-economiques-et-commerciales-ecg-maths-approfondies-esh/vous-visez-hec.html,HEC
ECG - Mathématiques approfondies + ESH,"HEC, Essec, ESCP",https://www.letudiant.fr/classements/classement-des-prepas-economiques-et-commerciales-ecg-maths-approfondies-esh/vous-visez-hec-essec-escp.html,"HEC, Essec, ESCP"
ECG - Mathématiques approfondies + ESH,Panier large,https://www.letudiant.fr/classements/classement-des-prepas-economiques-et-commerciales-ecg-maths-approfondies-esh/vous-visez-panier-large.html,"HEC; Essec; ESCP BS; emlyon; Edhec; ENS Paris-Saclay (ex-Cachan); Ensae; St-Cyr; Audencia; Grenoble EM; Neoma; Skema; Toulouse BS"
ECG - Mathématiques approfondies + ESH,Top 8,https://www.letudiant.fr/classements/classement-des-prepas-economiques-et-commerciales-ecg-maths-approfondies-esh/vous-visez-top-8.html,Top 8
ECG - Mathématiques approfondies + HGG,HEC,https://www.letudiant.fr/classements/classement-des-prepas-economiques-et-commerciales-ecg-maths-approfondies-hgg/vous-visez-hec.html,HEC
ECG - Mathématiques approfondies + HGG,"HEC, Essec, ESCP",https://www.letudiant.fr/classements/classement-des-prepas-economiques-et-commerciales-ecg-maths-approfondies-hgg/vous-visez-hec-essec-escp.html,"HEC, Essec, ESCP"
ECG - Mathématiques approfondies + HGG,Panier large,https://www.letudiant.fr/classements/classement-des-prepas-economiques-et-commerciales-ecg-maths-approfondies-hgg/vous-visez-panier-large.html,"HEC; Essec; ESCP BS; emlyon; Edhec; ENS Paris-Saclay (ex-Cachan); Ensae; St-Cyr; Audencia; Grenoble EM; Neoma; Skema; Toulouse BS"
ECG - Mathématiques approfondies + HGG,Top 8,https://www.letudiant.fr/classements/classement-des-prepas-economiques-et-commerciales-ecg-maths-approfondies-hgg/vous-visez-top-8.html,Top 8
B/L - Lettres et sciences sociales,ENS,https://www.letudiant.fr/classements/classement-des-prepas-b-l-lettres-et-sciences-sociales/vous-visez-ens.html,ENS
B/L - Lettres et sciences sociales,"ENS + Ensae + HEC, Essec, ESCP",https://www.letudiant.fr/classements/classement-des-prepas-b-l-lettres-et-sciences-sociales/vous-visez-ens-ensae-hec-essec-escp.html,"ENS; Ensae; HEC, Essec, ESCP"
B/L - Lettres et sciences sociales,Panier large écoles de commerce,https://www.letudiant.fr/classements/classement-des-prepas-b-l-lettres-et-sciences-sociales/vous-visez-panier-large-ecoles-de-commerce.html,Panier large écoles de commerce
B/L - Lettres et sciences sociales,Panier large écoles littéraires,https://www.letudiant.fr/classements/classement-des-prepas-b-l-lettres-et-sciences-sociales/vous-visez-panier-large-ecoles-litteraires.html,Panier large écoles littéraires
PC,ENS,https://www.letudiant.fr/classements/classement-des-prepas-scientifiques-pc-physique-chimie/vous-visez-ens.html,ENS
PC,Panier large,https://www.letudiant.fr/classements/classement-des-prepas-scientifiques-pc-physique-chimie/vous-visez-panier-large.html,"Mines Paris; École nationale des ponts et chaussées (ENPC); Télécom Paris; ISAE-Supaéro; Chimie ParisTech; ESPCI; CentraleSupélec; les écoles Centrale Lyon; Lille; Méditerranée (ex-Marseille) et Nantes; les Mines Nancy et St-Etienne; Ensta; Arts et Métiers; Insa; Grenoble INP; Enseeiht; ESTP; UTC; IMT Atlantique; SupOptique; Géodata Paris (ex ENSG-Géomatique); ECPM; ENSCM; Ensae; Cesi"
PC,Polytechnique,https://www.letudiant.fr/classements/classement-des-prepas-scientifiques-pc-physique-chimie/vous-visez-polytechnique.html,Polytechnique
PC,Polytechnique + ENS,https://www.letudiant.fr/classements/classement-des-prepas-scientifiques-pc-physique-chimie/vous-visez-polytechnique-ens.html,Polytechnique; ENS
PSI,Arts et Métiers,https://www.letudiant.fr/classements/classement-des-prepas-scientifiques-psi-physique-et-sciences-de-lingenieur/vous-visez-arts-et-metiers.html,Arts et Métiers
PSI,Panier large,https://www.letudiant.fr/classements/classement-des-prepas-scientifiques-psi-physique-et-sciences-de-lingenieur/vous-visez-panier-large.html,"Mines Paris; École nationale des ponts et chaussées (ENPC); Télécom Paris; ISAE-Supaéro; CentraleSupélec; les écoles Centrale de Lyon; Lille; Méditerranée (ex-Marseille) et Nantes; les Mines Nancy et St-Etienne; Ensta; Arts et Métiers; Insa; Grenoble INP; Enseeiht; ESTP; UTC; IMT Atlantique; SupOptique; Géodata Paris (ex ENSG-Géomatique); Ensae; Cesi"
PSI,Polytechnique,https://www.letudiant.fr/classements/classement-des-prepas-scientifiques-psi-physique-et-sciences-de-lingenieur/vous-visez-polytechnique.html,Polytechnique
PSI,Polytechnique + ENS,https://www.letudiant.fr/classements/classement-des-prepas-scientifiques-psi-physique-et-sciences-de-lingenieur/vous-visez-polytechnique-ens.html,Polytechnique; ENS
