school_name,city,department,parcoursup
Stanislas,Paris,75,oui
Henri-IV,Paris,75,oui
ND-du-Grandchamp,Versailles,78,oui
Sainte-Marie,Lyon,69,oui
Hoche,Versailles,78,oui
St-Louis-de-Gonzague,Paris,75,oui
Intégrale,Paris,75,non
Chartreux,Lyon,69,oui
Pierre-de-Fermat,Toulouse,31,oui
Champollion,Grenoble,38,oui
Le Parc,Lyon,69,oui
Janson-de-Sailly,Paris,75,oui
Chateaubriand,Rennes,35,oui
Ipesup,Paris,75,non
Saint-Jean,Douai,59,oui
Stanislas,Cannes,06,oui
ND-des-Minimes,Lyon,69,oui
Marcelin-Berthelot,St-Maur-des-Fossés,94,oui
Ampère,Lyon,69,oui
St-Michel-de-Picpus,Paris,75,oui
St-Vincent-Providence,Rennes,35,oui
Kléber,Strasbourg,67,oui
Montaigne,Bordeaux,33,oui
Blaise-Pascal,Clermont-Ferrand,63,oui
Carnot,Paris,75,oui
Saint-Just,Lyon,69,oui
Berthollet,Annecy,74,oui
Carnot,Dijon,21,oui
Montaigne,Paris,75,oui
Saint-Charles,Marseille,13,oui
Faidherbe,Lille,59,oui
Charles-De-Gaulle,Caen,14,oui
Alfred-Kastler,Cergy-Pontoise,95,oui
Clemenceau,Reims,51,oui
Henri-Poincaré,Nancy,54,oui
Kerichen,Brest,29,oui
Ozenne,Toulouse,31,oui
Ste-Marie-Gd-Lebrun,Bordeaux,33,oui
La Prépa Autrement,Paris,75,non
ND-de-Sainte-Croix,Neuilly-sur-Seine,92,oui
Alexandre-Dumas (ex-Florent-Schmitt),St-Cloud,92,oui
St-Joseph-du-Loquidy,Nantes,44,oui
Aliénor d'Aquitaine,Poitiers,86,oui
Claude-Fauriel,St-Etienne,42,oui
Gaston-Berger,Lille,59,oui
La Nativité,Aix-en-Provence,13,oui
Marguerite-Jauzelon (ex-Bellepierre),St-Denis-de-la-Réunion,974,oui
Philippine-Duchesne Itec-Boisfleury,Grenoble,38,oui
Saint-Paul,Lille,59,oui
Vernet,Valence,26,oui
WeiD Prépa,Paris,75,non
Louis-le-Grand,Paris,75,oui
Ste-Geneviève,Versailles,78,oui
St-Jean-de-Passy,Paris,75,oui
Saint-Louis,Paris,75,oui
Lakanal,Sceaux,92,oui
Michelet,Vanves,92,oui
Lavoisier,Paris,75,oui
Descartes,Antony,92,oui
Joffre,Montpellier,34,oui
Thiers,Marseille,13,oui
Baimbridge,Pointe-à-Pitre,971,oui
Corneille,Rouen,76,oui
Fabert,Metz,57,oui
Descartes,Tours,37,oui
La Bruyère,Versailles,78,oui
Chaptal,Paris,75,oui
Clemenceau,Nantes,44,oui
First Preparatory Classes of High Schools Private,Meknès,,non
Hélène-Boucher,Paris,75,oui
Louis-Pergaud,Besançon,25,oui
Masséna,Nice,06,oui
Moulay Ismail,Meknès,,non
Pothier,Orléans,45,oui
MyPrepa,Paris,75,non
Saliège,Toulouse,31,oui
Al Cachy,Fès,,non
Al Khansaa,Casablanca,,non
Al Qalam,Agadir,,non
Aliénor-d'Aquitaine,Poitiers,86,oui
Amyot,Melun,77,oui
Audentia School (new 2025),Meknès,,non
Cézanne,Aix-en-Provence,13,oui
Emmanuel-d'Alzon,Nîmes,30,oui
Errazi,El Jadida,,non
Esprit Prépas,Tanger,,non
First Prepas Marrakech,Marrakech,,non
Gay-Lussac,Limoges,87,oui
Ibn Ghazi,Marrakech,,non
Louis-Thuillier,Amiens,80,oui
Marguerite Jauzelon (ex-Bellepierre),St-Denis-de-la-Réunion,974,oui
Mohamed VI,Kenitra,,non
Moulay-Hassan,Tanger,,non
Omar Al-Khayyam,Rabat,,non
Reda-Slaoui,Agadir,,non
Schweitzer,Le Raincy,93,oui
Touchard,Le Mans,72,oui
WeiD,Paris,75,non
Sainte-Marie,Neuilly-sur-Seine,92,oui
